calgary,"chemistry, inorganic & nuclear ,chemistry, organic"
iowa city,"chemistry, inorganic & nuclear ,chemistry, organic"
gottingen,"chemistry, inorganic & nuclear ,chemistry, organic"
montreal,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
,polymer science
tsukuba,polymer science
"cambridge ,cambridge ,bagneux","chemistry, multidisciplinary"
"villeurbanne ,villeurbanne ,artix","chemistry, multidisciplinary"
,multidisciplinary sciences
coventry,polymer science
,"chemistry, multidisciplinary"
"villeneuve dascq ,wroclaw","chemistry, multidisciplinary"
tokyo,"chemistry, multidisciplinary"
,"chemistry, multidisciplinary"
,polymer science
"manchester,runcorn",polymer science
,polymer science
stuttgart,"chemistry, inorganic & nuclear"
stuttgart,"chemistry, inorganic & nuclear"
albuquerque,"chemistry, inorganic & nuclear"
,"chemistry, inorganic & nuclear ,chemistry, organic"
toulouse,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
tucson,"chemistry, inorganic & nuclear ,chemistry, organic"
"huntington ,newark ,burlington","chemistry, inorganic & nuclear ,chemistry, organic"
utrecht,"chemistry, inorganic & nuclear ,chemistry, organic"
gainesville,polymer science
,multidisciplinary sciences
cambridge,"chemistry, multidisciplinary"
kyoto,polymer science
,polymer science
,"chemistry, physical ,engineering, chemical"
belfast,polymer science
mainz,polymer science
,"chemistry, physical"
heidelberg,"chemistry, inorganic & nuclear ,chemistry, organic"
cambridge,"chemistry, inorganic & nuclear ,chemistry, organic"
"bayreuth ,wurzburg","chemistry, inorganic & nuclear ,chemistry, organic"
"hyderabad ,novosibirsk","chemistry, physical"
"okazaki ,atlanta ,atlanta ,ames ,memphis","chemistry, physical"
pasadena,"chemistry, multidisciplinary"
moscow,"chemistry, inorganic & nuclear"
dublin,polymer science
new york,"chemistry, inorganic & nuclear ,crystallography"
,"chemistry, inorganic & nuclear"
,polymer science
garching,"chemistry, inorganic & nuclear ,crystallography"
,polymer science
"gainesville ,midland",polymer science
berkeley,"chemistry, multidisciplinary"
pasadena,"chemistry, multidisciplinary"
"pasadena ,irvine","chemistry, multidisciplinary"
richmond,"chemistry, inorganic & nuclear ,chemistry, organic"
utrecht,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, multidisciplinary"
brecksville,polymer science
seoul,polymer science
tsukuba,polymer science
,polymer science
,"chemistry, organic"
iowa city,"chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
coll pk,"chemistry, inorganic & nuclear ,chemistry, organic"
"new orleans ,kangnung ,seoul","chemistry, inorganic & nuclear"
,polymer science
cambridge,"chemistry, physical"
