Id,CO,lat,lon
832,['usa'],37.09024,-95.712891
833,['usa'],37.09024,-95.712891
835,['germany'],51.165691,10.451526
836,['japan'],36.204824,138.252924
837,['usa'],37.09024,-95.712891
840,['north ireland'],53.41291,-8.24389
841,['usa'],37.09024,-95.712891
842,['italy'],41.87194,12.56738
843,['usa'],37.09024,-95.712891
844,"['england ,scotland']",52.3555177,-1.1743197
844,"['england ,scotland']",56.4906712,-4.2026458
845,['canada'],56.130366,-106.346771
846,['south korea'],35.907757,127.766922
850,['england'],52.3555177,-1.1743197
852,['usa'],37.09024,-95.712891
853,['germany'],51.165691,10.451526
854,['netherlands'],52.132633,5.291266
855,['sweden'],60.128161,18.643501
856,['usa'],37.09024,-95.712891
857,['usa'],37.09024,-95.712891
858,['austria'],47.516231,14.550072
859,['ireland'],53.41291,-8.24389
861,['usa'],37.09024,-95.712891
862,['germany'],51.165691,10.451526
864,['usa'],37.09024,-95.712891
868,['india'],20.593684,78.96288
869,['japan'],36.204824,138.252924
870,"['south korea ,japan']",35.907757,127.766922
870,"['south korea ,japan']",36.204824,138.252924
871,['usa'],37.09024,-95.712891
875,['germany'],51.165691,10.451526
876,['japan'],36.204824,138.252924
877,['yemen'],15.552727,48.516388
879,['usa'],37.09024,-95.712891
880,['france'],46.227638,2.213749
881,['japan'],36.204824,138.252924
882,['japan'],36.204824,138.252924
884,['taiwan'],23.69781,120.960515
885,['usa'],37.09024,-95.712891
886,['czech republic'],49.817492,15.472962
888,['usa'],37.09024,-95.712891
889,['usa'],37.09024,-95.712891
890,['usa'],37.09024,-95.712891
891,['canada'],56.130366,-106.346771
892,['germany'],51.165691,10.451526
893,['england'],52.3555177,-1.1743197
894,['japan'],36.204824,138.252924
895,['england'],52.3555177,-1.1743197
897,['south korea'],35.907757,127.766922
899,['france'],46.227638,2.213749
900,['usa'],37.09024,-95.712891
901,"['greece ,russia']",39.074208,21.824312
901,"['greece ,russia']",61.52401,105.318756
903,['usa'],37.09024,-95.712891
906,['japan'],36.204824,138.252924
907,['japan'],36.204824,138.252924
908,['japan'],36.204824,138.252924
909,['usa'],37.09024,-95.712891
910,"['germany ,england']",51.165691,10.451526
910,"['germany ,england']",52.3555177,-1.1743197
911,['germany'],51.165691,10.451526
913,['spain'],40.463667,-3.74922
914,['netherlands'],52.132633,5.291266
915,['usa'],37.09024,-95.712891
919,['usa'],37.09024,-95.712891
921,['france'],46.227638,2.213749
922,['usa'],37.09024,-95.712891
923,['france'],46.227638,2.213749
924,['england'],52.3555177,-1.1743197
925,['russia'],61.52401,105.318756
926,['usa'],37.09024,-95.712891
932,['usa'],37.09024,-95.712891
933,['usa'],37.09024,-95.712891
